Object_Identificator,Bonus,Onus_0,Onus_1,Onus_2,Onus_3,Onus_4,Onus_5,Onus_6,Onus_7,Onus_8,Onus_9,Onus_10,Onus_11,Onus_12,Onus_13,Onus_14,Onus_15,Onus_16,Onus_17,Onus_18,Onus_19,Onus_20,Onus_21,Onus_22,Onus_23,Onus_24,Onus_25,Onus_26,Onus_27,Onus_28,Onus_29,Onus_30,Onus_31,Onus_32,Onus_33,Onus_34,Onus_35,Onus_36,Onus_37,Onus_38,Onus_39,Onus_40,Onus_41,Onus_42,Onus_43,Onus_44,Onus_45,Onus_46,Onus_47,Onus_48,Onus_49,Onus_50,Onus_51,Onus_52,Onus_53,Onus_54,Onus_55,Onus_56,Onus_57,Onus_58,Onus_59,Onus_60,Onus_61,Onus_62,Onus_63,Onus_64,Onus_65,Onus_66,Onus_67,Onus_68,Onus_69,Onus_70,Onus_71,Onus_72,Onus_73,Onus_74,Onus_75,Onus_76,Onus_77,Onus_78,Onus_79,Onus_80,Onus_81,Onus_82,Onus_83,Onus_84,Onus_85,Onus_86,Onus_87,Onus_88,Onus_89,Onus_90,Onus_91,Onus_92,Onus_93,Onus_94,Onus_95,Onus_96,Onus_97,Onus_98,Onus_99,Onus_100,Onus_101,Onus_102,Onus_103,Onus_104,Onus_105,Onus_106,Onus_107,Onus_108,Onus_109
137,494.96019,861.55046,996.92816,150.22046,227.5908,158.70396,602.72373,103.27334,691.96638,150.80051,703.10109,848.61076,216.75313,364.31242,313.16119,719.77842,382.96719,207.05465,62.98721,978.40318,303.66122,605.18123,405.01398,186.65402,822.90355,428.79484,149.94863,253.49599,33.72752,64.66916,431.33512,173.25613,802.02638,28.24172,715.01313,994.4477,305.74514,700.48911,25.38881,278.09933,624.67894,673.1557,117.60295,526.29398,130.50798,50.23687,283.57704,198.33635,634.30636,368.02154,799.83423,177.60964,553.77429,810.11328,428.16194,657.30816,535.83221,688.98757,771.4245,617.02641,855.04215,524.48035,493.10985,189.91874,737.5031,13.82818,17.23358,71.48444,381.46242,765.97445,349.54909,306.07098,643.95307,222.54119,916.5837,686.21546,917.0677,877.78763,297.13205,717.70538,179.40347,201.86099,583.67864,3.99132,423.01403,631.55855,60.83607,808.81679,208.70017,469.66063,182.24546,943.10015,460.91475,702.41613,533.79776,572.54677,948.58764,228.22025,402.69025,523.23499,471.54291,104.57719,266.44177,191.5506,819.99736,983.46345,407.90513,306.52414,850.42792,980.12636,680.98792
138,394.90979,984.47944,918.70084,541.59091,839.48598,737.33569,954.55287,35.06466,35.49946,599.68547,386.6223,18.98293,596.58727,79.27145,910.24529,239.33972,817.97207,438.30738,839.10398,124.98871,603.75503,384.07797,785.04301,323.70525,91.6404,823.87208,520.71953,333.35185,104.26279,243.23254,325.56707,122.34554,658.67732,340.99475,114.59079,720.56245,304.6797,641.05963,505.9827,564.71282,16.2123,820.09009,230.188,611.94766,930.97805,137.91958,324.6769,632.64305,850.21321,919.11462,738.96696,613.3973,546.33897,25.97708,522.48931,892.78262,804.10441,629.45165,642.73243,78.85472,85.68404,990.7562,625.5656,240.67595,988.6288,550.69263,974.45257,4.65727,634.90982,485.17908,781.54783,693.94835,703.12972,394.81989,710.39114,605.458,201.7236,296.585,275.03258,631.96948,651.52023,708.83022,221.52472,875.14561,878.65114,6.86631,81.79913,504.81529,212.85722,512.41046,85.42227,503.66237,242.80461,160.52343,271.2526,717.55528,875.20402,836.63592,134.92332,650.32993,834.50953,748.53479,130.01516,814.964,4.67719,477.92602,444.24744,300.78466,677.07244,355.50632,671.96335
139,303.40119,280.71731,732.27888,104.05659,101.0947,391.75559,154.44539,360.03601,27.8002,243.0292,590.36274,9.64836,945.99923,70.51237,174.10545,28.39878,148.65935,173.48344,558.78868,772.42331,236.32176,394.2676,693.52845,829.09809,287.65568,378.6261,250.05102,85.31873,117.65376,350.06153,236.31949,575.79399,881.84283,159.65796,770.78062,670.9065,18.48154,69.11934,918.35949,265.06865,911.82094,918.89284,640.26844,185.25738,179.7404,661.13384,387.14309,389.47151,215.50402,320.81436,544.1044,311.56991,833.5327,287.1789,351.27019,555.44586,267.18127,811.43724,97.44506,84.1402,726.8748,645.49658,990.89028,207.91875,943.51948,138.16673,881.63627,293.23553,875.20653,496.64337,543.533,401.98312,24.10565,366.74152,704.56223,770.92154,461.19781,625.46924,324.91023,396.63913,52.19691,476.79671,655.3874,928.87221,95.081,52.28543,339.23819,598.65887,658.25887,116.04806,698.27498,338.42353,690.34614,118.30342,466.34068,460.92705,566.77856,324.8064,673.42,540.89191,998.55464,781.46938,546.43117,452.2927,804.77728,293.6907,695.84045,995.92337,835.34253,187.96146,611.35906
140,643.69561,824.47133,884.4981,551.75336,292.78315,116.62547,426.86676,603.77643,369.47896,446.47441,949.87768,217.65727,379.70116,480.50171,879.92137,809.57689,969.13455,117.57292,620.42187,726.13094,152.14119,830.71878,411.42311,293.65647,888.54931,439.41422,524.13162,581.84445,45.45158,532.60953,719.01285,623.07772,50.95968,980.86473,387.39258,788.70712,551.86542,784.54242,860.34964,264.67797,559.71618,224.56433,535.33006,111.31551,295.87437,894.71902,431.01431,769.2888,849.02657,157.50555,730.34108,584.91476,935.10688,17.17346,477.77124,914.32563,17.4651,600.72838,850.03599,514.07923,793.31243,289.78104,852.74093,204.39087,545.01648,484.92716,185.64035,740.29288,943.41202,148.44039,440.16466,864.11163,459.14341,970.58899,726.92507,244.78401,377.17235,31.06142,706.34264,922.19541,867.20207,659.57846,244.00505,944.77582,693.35201,454.59297,12.20828,971.88919,178.47542,92.69153,97.26199,544.22203,204.96794,600.89989,500.58018,371.9706,890.48681,362.85719,841.02321,515.8988,820.94817,39.38812,904.88758,922.93852,67.12151,177.98018,633.69589,446.59979,395.02933,985.84177,542.90349
141,290.65286,691.52668,6.27222,925.02331,138.7482,103.12841,618.81871,546.70986,376.98764,712.27442,987.12336,757.98585,58.64814,736.32542,101.16114,932.8546,323.16644,154.82139,807.08697,568.70121,705.05005,505.87612,522.75528,364.18637,788.51917,755.56924,334.99074,395.38835,375.32087,634.13983,360.70788,157.10555,631.38353,605.45753,113.75247,275.07269,275.45055,254.41116,482.44548,139.23994,81.29059,448.00836,940.11686,802.40932,861.77755,922.21975,410.20068,805.98785,221.62731,419.51053,806.97272,189.25572,518.508,506.25545,264.74408,997.33542,352.77634,833.0004,432.14284,126.42561,899.52725,796.30382,563.61825,933.59795,953.97698,255.14332,374.11028,907.42868,425.95505,25.95323,936.06422,988.5443,384.47582,146.4575,175.89898,347.30134,526.96196,421.62415,283.0261,263.6295,198.75409,616.96736,657.77074,893.26932,456.21315,178.2973,830.0822,662.61729,10.62985,66.17981,236.43167,837.97861,743.44914,443.29547,835.42321,991.10169,381.11166,181.08022,812.04352,178.45567,170.10522,785.40827,709.15993,615.75167,376.16377,227.83712,464.80642,253.19429,432.47822,788.41436,146.94518
142,651.84114,574.80143,638.34357,845.79701,956.70506,534.21551,286.82178,355.43189,524.26548,607.59569,183.60819,308.43829,684.39175,921.08262,410.0256,712.83216,452.40728,803.41656,281.27678,89.75433,514.37838,795.68589,977.95056,744.69528,105.90876,323.65016,309.25018,225.20845,758.01244,361.37009,348.0559,595.70383,246.52334,527.56923,722.69934,208.58629,279.58766,354.65957,833.50914,595.60749,109.98705,116.01179,671.88803,759.97536,418.04906,454.30915,190.46943,170.70526,533.30107,547.1762,261.55819,298.55913,228.9427,760.3429,181.75039,839.65167,318.69065,996.10535,959.51995,99.40307,628.47777,55.45638,686.33475,66.18368,579.51657,96.71675,888.78586,82.55143,558.1404,45.0724,143.86603,609.59595,200.50992,823.05185,325.59433,390.6763,662.64292,409.49295,955.12713,646.60315,892.5583,358.32816,32.31391,491.17002,591.37175,981.70443,325.46865,384.28877,335.1209,733.21781,431.63923,259.90361,602.92046,510.38819,632.75152,12.19132,408.66627,702.73482,330.00409,455.9021,409.91516,371.1067,149.54821,114.00204,581.92082,284.55663,176.27067,241.21022,913.34977,771.31997,587.80348
143,856.55783,695.0562,747.73942,839.19557,62.77548,287.28341,955.00653,228.05862,956.81002,797.3534,144.90947,520.61681,969.85155,323.44242,628.84854,895.5918,691.36852,378.88815,594.10362,967.38228,931.70364,677.81172,593.30102,79.80245,400.85164,567.32105,461.74355,376.03651,794.05212,374.37897,294.40086,68.44816,721.60351,321.13771,151.17035,889.67078,929.76031,569.81959,937.92478,686.84675,128.46317,57.60114,146.62768,702.2899,612.36601,275.96576,282.83664,879.44662,408.07822,687.80371,841.78497,729.84278,990.59015,795.22429,912.7011,839.31032,414.41159,438.83323,291.48302,540.00757,753.20942,325.89942,488.15677,764.07248,283.9908,529.01384,539.95431,784.32204,943.31619,541.00642,410.33677,212.45774,717.24426,635.83903,602.94504,742.13342,809.98824,540.96204,5.24479,567.19293,821.70018,636.55785,926.79443,139.7998,296.54842,811.28494,525.25877,390.01772,568.16131,332.44518,183.11256,355.67018,337.67368,108.21389,320.03455,914.1448,488.76034,104.43656,355.22433,532.48538,106.8624,490.4819,924.00783,668.88619,482.89459,238.2404,15.01715,639.97138,223.39825,471.10948,868.83162
144,94.43359,377.87291,961.0712,691.45147,433.30436,479.01886,163.50179,202.13122,483.02006,832.02443,958.34806,177.12674,643.3098,524.52175,666.29307,252.33659,697.82718,828.18237,514.65713,195.2902,759.38248,988.94788,341.03671,676.60026,263.54426,621.6274,76.05049,989.79157,254.31879,255.21672,252.15685,134.48369,882.22112,523.46623,39.40686,220.98504,619.10456,803.39617,205.34613,258.11755,276.11295,45.02233,436.18801,542.72261,226.2868,208.44319,512.60892,339.59905,478.13226,500.38501,229.60707,331.22626,625.36141,287.87152,9.82135,830.47881,934.65018,506.74217,332.70946,124.18925,657.57754,637.07171,369.39013,512.00398,764.38022,429.11726,916.79889,324.58106,635.57423,224.99549,546.76687,69.44464,683.38746,115.582,926.21331,430.99881,417.18518,433.66593,440.46297,386.20843,631.08265,389.84745,230.91856,141.65351,589.8597,406.39345,653.8377,506.48041,371.68269,708.22502,834.5055,630.27027,23.52304,106.1263,344.47884,478.754,955.40111,278.87529,190.12575,118.00629,551.24273,301.51664,339.34316,124.09376,941.72349,973.71568,675.90953,919.35911,304.58729,934.45159,682.65928
145,593.47611,358.82248,479.02265,40.84269,419.26764,512.77355,654.31617,945.74688,579.54212,891.17444,736.30591,555.81589,878.35873,328.51192,71.74421,93.04534,146.40001,980.36017,682.27229,134.50498,248.41528,345.95866,516.5511,878.42104,166.95389,387.25142,510.53175,800.86565,937.86047,69.35329,462.90321,253.45012,596.52379,488.53735,176.1322,85.8553,725.0247,199.72044,53.85429,165.90181,53.11597,538.43037,389.3737,110.84701,183.69076,633.00635,843.41664,558.04825,681.42726,158.8098,619.44859,493.71869,532.13948,734.50127,647.68717,711.08963,67.98004,222.02263,421.73732,257.23887,718.98341,572.70248,501.00989,360.40132,706.71505,378.98874,611.03978,634.84168,121.87403,516.10515,226.45076,160.14032,915.42955,569.11266,711.95236,440.42339,378.15836,173.79008,492.85893,347.37919,952.67242,661.04113,772.33393,362.0826,986.57858,921.98266,605.13839,708.687,865.17907,922.27515,216.41427,371.32749,627.8595,847.54973,851.44241,249.74642,726.17752,504.87488,895.2548,941.98272,121.70385,808.65192,955.5996,942.80407,68.93816,333.45691,370.50989,19.89917,197.74385,391.46111,701.74076
146,606.30133,68.77148,388.75227,715.09406,477.61814,823.4596,703.08738,662.0679,539.93916,322.26919,65.33276,147.06693,138.34447,218.36015,489.44754,786.21389,299.50904,147.223,411.62892,510.84891,756.08859,743.02611,263.79555,781.0079,2.93411,438.76505,564.01829,793.98365,144.58897,450.86203,342.04019,386.19225,916.90593,129.77792,953.7574,107.15914,434.30963,494.75817,263.43653,905.24958,461.60619,793.53428,931.84951,235.27261,346.1168,821.0463,271.28868,667.43296,778.28876,137.66249,86.00432,826.55437,603.5593,826.97376,724.44893,346.11143,54.66318,175.20175,738.79928,993.7921,314.07947,200.14069,103.69114,189.13398,744.5839,53.50022,981.23317,444.65169,317.76862,970.84408,113.36529,653.90894,578.50111,840.82427,290.68267,107.19724,704.15411,542.16719,153.12624,510.89177,305.61309,364.00101,595.72504,428.91748,919.25662,628.14928,904.72729,516.04754,315.55016,286.9697,640.29579,326.27643,202.38434,579.22711,844.70069,498.82503,197.29781,781.0018,258.84434,582.6983,398.57185,156.74935,281.56941,679.7892,3.87701,330.24749,539.6634,21.56528,873.09028,680.14839,408.51976
147,978.44872,970.13188,550.06326,470.93415,111.39701,573.60359,389.86178,202.27128,498.55864,527.99145,176.72391,585.95334,422.67359,265.8218,8.42136,32.90677,329.52577,550.17105,549.78706,167.29117,165.8737,630.54427,345.99838,817.37324,334.0679,983.20702,241.76901,319.19978,239.90946,342.02991,666.13114,317.40206,331.48907,28.87595,840.87895,480.38287,504.93594,546.94898,120.22159,794.37722,397.53497,931.71091,275.17045,813.30399,333.30794,350.60964,642.66405,344.16586,389.49385,359.1416,79.81652,883.92534,226.85692,82.4813,334.74241,356.01654,425.62455,914.63332,36.29579,669.0763,193.31228,79.40451,324.40354,281.27117,504.81904,367.70361,569.88702,839.10012,206.13052,969.62293,560.85552,978.66142,119.54765,30.32808,14.11239,289.1544,437.80148,397.96326,265.66394,330.25168,288.27752,512.09817,402.13634,451.34803,8.75261,611.19517,501.0891,371.59523,498.83712,291.33513,605.32732,727.49415,179.45252,765.39218,339.25324,170.19262,7.88278,409.87882,323.24522,17.10037,160.23719,610.5709,474.91941,501.27815,103.55459,831.58205,459.90765,959.92838,934.29241,714.79736,125.02045
148,481.8405,965.39647,547.16402,722.02759,640.78349,291.1983,151.19809,405.9856,581.42532,185.06869,386.22368,101.37434,172.01331,220.26185,294.29015,891.94563,942.29933,231.50736,802.87951,956.1321,252.58112,657.21398,63.65436,760.37472,258.68602,52.81504,586.59637,461.8546,97.34344,287.30055,956.23589,942.10292,260.87493,458.64435,763.86895,544.12097,354.64194,386.37381,8.43072,379.76877,530.85641,875.83748,395.42279,209.09917,222.86739,82.61775,686.42143,972.59241,944.61283,198.26263,630.94263,809.9427,434.66597,657.58924,393.24931,622.78716,874.51562,364.22187,361.35876,89.63685,495.69029,334.80617,462.81684,806.02591,840.66682,102.34962,733.8288,302.3721,200.91482,780.32916,207.64296,89.01949,482.58168,760.20845,648.69197,944.02186,27.10367,404.18085,543.4727,731.94397,13.30616,699.90484,906.84919,678.38618,734.5539,721.55022,762.41344,892.60462,299.13437,611.67343,503.26871,513.73525,699.76732,31.99007,433.10646,173.90147,84.20135,10.04686,153.2431,53.43225,812.10785,51.8804,679.73106,755.95734,997.36348,993.79495,494.44784,155.94615,921.2287,473.79307,271.92306
149,196.91905,528.27804,853.14909,720.30401,595.99903,198.2591,947.98482,590.28232,894.33771,902.6848,222.41897,109.45165,669.52655,764.01686,613.11864,563.72468,336.93217,503.09783,517.30249,840.53287,684.78003,157.07023,633.17567,896.62362,625.7071,908.08639,946.45547,596.9102,447.34878,406.63274,374.67862,756.57421,980.26258,189.15465,709.91549,203.43241,635.54874,183.76423,439.47362,219.98106,82.93066,617.80068,986.71801,132.36517,838.01351,165.84402,129.68454,467.72064,910.15348,518.49321,957.19574,946.37475,493.89082,557.62684,489.12277,658.6766,298.38417,354.99579,577.09162,494.00075,70.57385,676.50367,847.56262,858.53156,53.93865,458.79397,918.5559,646.17524,820.38003,431.62826,191.02042,227.67302,912.45555,699.15488,42.69865,519.90243,547.06787,398.2409,130.11669,819.96699,439.19521,726.10703,353.66077,945.42384,857.46639,811.23945,629.89484,170.62306,202.91656,344.92107,726.61756,754.49609,362.65531,103.94719,42.99658,4.29783,734.23558,534.90057,420.91987,116.04933,718.51562,523.66606,242.98261,813.26633,598.15984,864.52042,652.64769,974.75396,3.24882,191.98823,574.58064
150,15.67585,966.96191,422.01789,273.878,673.54376,306.44213,189.12891,773.63589,702.64502,420.67599,63.63856,560.84723,302.95717,47.1443,964.14505,746.60555,22.61504,432.36405,928.92975,163.8133,86.60681,565.63576,901.56884,605.08765,479.66403,380.18134,361.44569,826.46354,258.51806,554.83013,894.8987,98.23383,494.60178,998.86526,251.88598,217.57085,968.7315,938.8671,828.93397,635.01393,632.26223,860.3476,466.26883,857.14843,958.60393,827.43698,543.68944,745.43361,819.0494,665.93765,742.78523,791.97007,832.88243,798.17745,143.92877,585.96995,892.62787,883.7705,932.64953,52.25514,549.23275,703.35728,382.78385,583.54328,879.99575,40.76514,599.39594,256.74097,827.93853,156.32008,778.5228,818.61745,879.73297,744.75272,920.32581,686.93347,433.93586,451.94115,279.40728,120.40656,159.95041,783.42996,113.09048,904.65037,830.93959,418.56836,545.32332,799.96208,670.38453,895.44575,127.95183,386.5279,450.90555,714.31693,671.83426,863.60772,212.53882,78.5247,757.24129,500.15437,246.55982,822.80712,447.15173,425.56491,815.7296,710.82852,489.68494,76.53314,430.84139,589.3501,894.41245
151,745.25819,187.79122,552.56537,545.30648,383.98916,983.66373,454.93238,233.0593,462.72518,610.75534,658.98477,630.01665,475.57922,828.65648,863.63973,886.62309,371.07095,473.42725,743.45631,278.89532,664.13644,763.03668,646.19594,453.72719,916.22855,937.11027,631.49432,708.98579,478.89043,216.61642,478.93038,936.43812,318.02202,590.42475,273.29798,882.44385,953.41117,216.18438,970.69643,261.51767,848.72928,23.14627,723.88836,645.97267,322.60954,680.23925,16.72324,63.63521,461.90052,511.48037,468.96701,911.19727,607.73838,284.1677,631.73466,200.69056,558.15864,594.69676,654.75505,531.90295,300.94933,14.56524,181.58074,280.76111,709.846,928.14953,89.01539,362.91352,924.97023,762.76784,295.53719,238.02209,692.65932,325.78411,447.45302,135.23736,222.57689,397.28505,745.17001,387.38536,267.68141,578.35329,924.59504,39.5799,475.77097,203.19438,208.0056,144.35543,542.07171,321.8146,239.33345,280.6957,6.05346,505.935,471.55478,53.56399,347.57014,333.74925,510.05039,761.11606,360.99737,897.039,505.22909,433.98725,772.85092,600.10997,577.81928,441.45804,466.62431,9.41365,76.71389
152,347.18185,564.16914,979.09259,796.16976,85.56006,627.77073,972.94173,621.79079,256.69944,965.44456,952.58939,338.76709,872.13602,904.01034,343.18345,900.20353,522.42278,561.84759,512.7963,279.88662,748.95859,747.75772,162.84407,526.762,23.62481,630.22616,481.68096,358.95362,786.79312,556.13873,414.08605,401.60015,19.73704,176.20322,961.76517,603.62076,216.65576,994.5402,734.99093,279.72848,953.59234,653.62681,977.84467,269.52094,449.80204,299.68446,450.81899,615.53982,487.4818,963.91949,407.26502,225.0784,783.5835,322.33713,213.43765,610.81067,534.35716,72.19231,84.97254,481.79101,22.80625,438.36037,119.03983,320.06566,119.97973,89.38081,211.08051,596.67206,13.84222,673.55836,50.96877,159.01388,598.65571,770.21343,688.03825,159.2532,837.21949,458.47411,861.47079,713.76768,125.66447,756.51734,18.15249,119.35729,170.49623,444.54663,357.1054,569.8382,541.83433,104.9909,804.70296,751.28814,592.59828,159.45025,253.70708,313.07126,898.16435,40.3292,217.85729,786.8404,395.69249,40.61769,92.119,294.73078,514.78864,584.66285,905.61764,831.98127,363.24386,706.90595,985.91724
153,824.9127,501.86103,92.95643,627.22049,96.42001,564.02729,754.44556,720.01728,93.85111,72.71675,925.08249,873.31958,11.81277,33.1906,681.59105,455.59541,109.92192,877.84413,56.79756,845.56989,55.31316,136.5524,930.12265,933.50043,244.14766,969.47996,314.32019,58.36815,840.57039,676.69539,550.02517,149.64667,737.18288,383.12255,786.94909,849.50985,286.89197,810.44618,603.59095,343.64143,795.71626,963.94624,26.43473,581.61456,147.13035,698.4636,663.75811,297.04065,400.59359,172.44049,307.50045,687.78146,743.60238,926.50275,422.86754,792.60647,800.73794,444.06686,208.48446,541.06727,5.48141,41.4995,104.60524,269.44285,897.21143,208.22119,101.04359,543.09296,439.8191,645.08949,889.45265,826.17965,834.89074,40.38635,75.59487,913.35871,266.75938,366.3001,816.3741,924.57068,122.02129,831.98262,209.95646,371.37325,65.10659,797.79384,632.77705,692.76618,915.12466,924.97601,366.95851,856.53643,503.93311,657.69321,680.74338,906.77643,551.21624,411.25014,476.78003,349.57701,489.18817,870.45207,995.6966,254.70344,427.87962,157.12928,100.39475,991.47342,549.67185,858.26463,503.62923
154,330.78005,474.15258,217.93895,447.0475,968.67793,764.37334,763.97265,136.33409,988.453,706.95305,81.59593,919.63888,889.09782,677.10638,743.52014,293.54702,494.39735,967.60344,412.41869,553.28066,576.24635,741.68647,285.84388,232.56251,106.71365,251.98214,673.19433,893.52073,692.63864,457.65885,524.0376,396.24232,468.17644,847.30144,39.71786,501.01511,332.66964,777.233,771.33809,506.20873,699.38194,117.95814,731.07592,901.59049,590.61651,222.64068,319.5109,548.14131,707.88815,427.32336,881.90953,520.97545,661.78329,373.75099,959.1411,580.68969,53.0682,183.24288,221.35576,15.03565,556.14191,129.92318,399.84673,699.91282,733.22841,758.5854,431.0569,159.59253,505.34476,704.61223,731.25035,88.67346,447.23881,573.08282,755.32733,981.20549,347.55969,995.99748,697.64802,70.78188,741.86201,792.90654,536.35122,474.83173,229.64462,597.29597,8.1065,741.10915,316.5395,392.75655,717.68747,267.77459,346.11157,667.45856,426.24214,231.73696,755.60037,150.74369,365.77973,39.50309,960.15433,200.56324,478.33905,720.58711,357.09518,308.49041,911.82623,458.75459,588.73713,501.11373,417.56922
155,101.56231,416.7073,100.6228,145.15256,430.12136,685.05653,432.41498,326.14892,719.92635,457.67549,790.94559,592.46893,220.24699,194.92959,688.56741,366.78847,821.78123,231.8939,42.95321,913.83128,528.1332,139.51368,506.77087,681.6646,751.69524,527.05066,550.3277,405.64819,686.55567,651.77399,195.95995,126.96323,685.45089,527.31896,979.20508,967.5211,983.95515,124.00161,213.66173,92.08991,631.54014,477.52713,417.66354,862.26772,291.96526,763.51285,588.3931,853.67371,83.68059,842.36844,252.05213,846.57288,434.59295,796.45041,179.49092,137.75091,445.57463,869.38513,36.38968,90.18692,128.46278,136.76005,544.3631,861.91917,829.64477,786.37165,994.99165,639.99626,978.1693,707.99478,637.81507,326.42221,868.53446,327.35232,647.88408,552.55112,797.35499,24.5896,853.13166,932.01213,110.16472,224.6889,797.32722,440.55768,387.58087,173.1266,636.78483,201.14365,998.84381,124.91404,654.17353,219.22171,701.27873,500.94485,58.54901,24.2337,141.03549,789.48944,85.75196,737.82216,541.79592,18.14435,159.48137,487.80742,286.54147,316.66589,727.80249,280.15389,887.30187,323.04881,746.80806
156,138.56626,282.04135,944.14716,332.14212,711.96865,457.39172,610.36938,79.88377,15.20008,303.91828,335.19439,936.65607,323.3689,856.74813,211.59723,510.59026,344.21993,772.21273,94.74141,211.26303,662.32483,947.84166,886.66354,876.62433,878.52389,666.9406,416.54952,452.06416,872.05784,223.66094,464.61583,443.90176,575.37817,981.32422,145.3682,920.81055,797.88267,996.15152,585.63066,972.39293,842.5404,606.36275,546.76759,192.9868,297.60384,580.5285,894.99717,511.88343,60.48418,574.66477,431.24936,682.8109,335.94253,923.15295,822.35567,75.26834,34.53058,279.91543,971.02555,735.44313,819.6899,541.32963,691.9263,696.93165,481.61263,530.42717,84.17879,288.62271,455.21288,579.12609,388.54694,952.25069,324.56861,0.11622,261.47811,627.35524,799.03628,577.47204,60.85164,83.82124,158.31491,812.64808,306.66491,559.40197,698.60144,233.81405,708.53118,694.68275,369.5039,437.99557,265.88223,429.98421,951.15355,339.90616,277.00151,211.66596,173.01229,375.42503,35.35347,631.08311,269.37965,675.92713,949.5503,434.70803,714.67852,725.95982,276.95861,137.2237,978.20032,733.49709,467.62123
157,22.08283,318.24396,750.13593,737.00791,92.3172,730.16697,380.26519,12.47978,986.20288,532.45509,481.71795,133.64683,229.03286,618.55929,870.66647,332.30322,561.26411,940.82508,114.46738,839.58487,949.60326,458.68379,205.93389,506.89728,982.84307,736.85116,18.46327,8.46761,782.02264,686.99695,15.14919,130.20943,265.75656,785.79167,511.10275,260.72308,452.70452,62.29748,512.63256,737.05411,731.54036,462.84688,249.48252,670.79554,904.16557,321.63362,24.50674,186.52016,854.27427,586.62129,201.35285,724.34558,744.95548,524.14116,82.53189,139.769,553.09801,181.76471,225.601,366.76963,973.13149,901.90162,359.16065,975.00036,368.45552,183.00602,5.51891,968.85192,455.13559,543.54737,525.34116,698.46957,514.28911,250.92469,342.34169,25.43364,387.82618,353.4402,307.89499,757.29284,205.40791,842.58406,204.02797,252.44711,758.15678,161.12438,930.24068,85.46989,186.01394,35.58778,58.82992,579.56702,637.38785,242.44765,557.81942,657.38594,403.62004,950.07364,450.94548,307.25379,364.74475,280.01087,868.85241,680.14828,358.05693,996.46846,97.91925,476.60323,734.88681,377.99709,115.44291
158,221.92879,218.17658,951.93749,781.62064,209.88965,210.65079,265.00324,883.91163,430.04299,655.96667,255.12262,57.09066,943.76453,332.90207,628.27946,832.5765,58.17298,42.2031,521.73826,904.61305,626.01265,218.57432,213.86353,648.41683,170.92111,366.49924,22.06015,829.29068,825.00024,977.66898,0.90787,755.24528,239.74256,238.2817,132.27897,41.95655,331.27107,164.54062,129.09197,68.75066,986.1771,930.75529,962.73492,999.3595,101.19823,482.75348,372.1183,342.52189,353.47209,333.99067,698.44652,212.32433,964.16157,78.05382,942.75318,71.13091,338.55399,872.15241,979.07327,510.28245,153.4465,403.44787,229.3965,114.74746,917.04763,590.54904,76.57508,402.3008,586.55623,827.26042,956.8521,119.95924,598.77558,850.12761,671.58352,226.19714,553.60415,804.68719,284.93035,34.0321,279.75759,451.68433,674.23821,21.12716,430.9343,354.15354,928.90547,877.50151,338.88,244.17369,349.36744,995.24313,63.46962,800.30524,790.998,210.87738,791.06411,490.10125,17.5299,811.92837,331.23485,716.46644,580.94887,942.74583,214.09748,315.92797,646.58072,746.0637,476.99685,84.54983,812.58818
159,298.12945,444.33458,463.18394,27.3688,470.76198,304.41634,88.36527,733.31055,964.85522,310.89097,704.8322,545.79728,297.02505,490.71905,840.38906,161.34343,499.48156,494.1864,187.9754,77.13419,880.64196,595.69835,390.8442,97.30723,497.54968,744.26362,471.43993,830.51973,547.99692,741.14596,390.47829,310.51835,410.59801,974.20639,577.23447,911.10141,48.71158,889.0326,589.90376,494.44329,227.25619,644.65512,626.56699,894.82728,647.28124,475.07107,310.01423,819.57062,563.56184,876.56502,831.12298,954.94317,949.69167,931.72478,544.68784,132.57187,371.96096,762.86935,95.35754,209.93563,534.49564,936.74867,473.67203,362.28574,356.78776,466.62666,692.94671,480.40843,877.71978,277.53029,760.50493,620.64391,24.44993,367.60913,307.36771,533.00997,749.00062,626.30213,362.84148,639.54804,636.62207,135.06521,717.5995,853.4832,939.22724,106.1769,417.99133,646.54948,577.2353,55.40057,271.84227,771.03373,831.02773,404.42659,961.12531,403.77893,262.1733,766.70921,949.26073,213.33478,294.68806,799.25466,129.2867,701.97577,1.00978,587.75086,350.19221,583.84844,277.79059,43.61496,146.97832
